;RMS_(µV);rms_sec_(µV/s);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_1_(µV);rms_2_(µV);rms_3_(µV);rms_4_(µV);emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;;;;;;;;;;;-1;-1425;-1832;-8752
;;;;;;;;;;;3143;-2867;-872;-5423
;;;;;;;;;;;4322;-3022;-6012;-4115
;;;;;;;;;;;2754;-1794;374;-689
;;;;;;;;;;;3593;-4513;5104;3332
;;;;;;;;;;;5297;-733;4601;3.77
;;;;;;;;;;;3.07;-2779;9935;10657
;;;;;;;;;;;1.48;-5867;12026;10953
;;;;;;;;;;;5831;-3902;8469;8714
;;;;;;;;;;;3652;-4899;10.5;8567
;;;;;;;;;;;2527;-1709;9989;9802
;;;;;;;;;;;2715;-817;6255;12088
;;;;;;;;;;;2214;3686;5373;7703
;;;;;;;;;;;1881;3528;5.45;6237
;;;;;;;;;;;-4476;2824;7076;5444
;;;;;;;;;;;-1891;2258;4976;316
;;;;;;;;;;;-2164;-4.5;2.93;-3141
;;;;;;;;;;;-2553;-1385;1712;516
;;;;;;;;;;;35;-2935;-791;3504
;;;;;;;;;;;-3.37;1763;1766;-2375
;;;;;;;;;;;-814;7722;-914;-2305
;;;;;;;;;;;-1.41;5252;-4.13;-2167
;;;;;;;;;;;-1587;9354;-456;-5.18
;;;;;;;;;;;-2.84;8714;-3678;-4979
;;;;;;;;;;;-5.44;5344;-5.58;-8173
;;;;;;;;;;;-1397;8.81;-2984;-4655
;;;;;;;;;;;-3295;11.19;-4049;-1979
;;;;;;;;;;;-3089;2409;-8114;-4307
;;;;;;;;;;;1627;2.15;-11361;-4952
;;;;;;;;;;;-1641;5048;-9745;-7047
;;;;;;;;;;;-3059;2.55;-6065;-7783
;;;;;;;;;;;-75;1572;-1677;-9763
;;;;;;;;;;;1121;-3307;-3596;-4312
;;;;;;;;;;;1581;-1.71;-5456;-3114
;;;;;;;;;;;-1108;-3285;-881;-3816
;;;;;;;;;;;146;-7899;0.42;3801
;;;;;;;;;;;-333;-9679;2084;-152
;;;;;;;;;;;-1439;-7959;525;1805
;;;;;;;;;;;3632;-3885;-866;3681
;;;;;;;;;;;2.89;-5219;976;0.09
;;;;;;;;;;;1669;-4234;-497;1672
;;;;;;;;;;;845;-2.93;4783;-4489
;;;;;;;;;;;-74;-4.55;6295;-2992
;;;;;;;;;;;-1282;-4186;2612;-2713
;;;;;;;;;;;-1686;1188;4161;-4136
;;;;;;;;;;;-0.23;3463;3594;2394
;;;;;;;;;;;-3266;0.43;2.33;4.36
;;;;;;;;;;;-2001;-7458;-1549;7786
;;;;;;;;;;;-1766;-3995;-2356;10184
;;;;;;;;;;;-3455;6311;2593;16493
;;;;;;;;;;;-216;108;5334;16464
;;;;;;;;;;;1553;1698;6852;13017
;;;;;;;;;;;1475;0.53;6765;17088
;;;;;;;;;;;0.68;-6.1;5109;12675
;;;;;;;;;;;314;-2452;4883;8896
;;;;;;;;;;;56;1097;3494;3222
;;;;;;;;;;;2501;3771;2711;0.87
;;;;;;;;;;;5838;1542;4968;-2845
;;;;;;;;;;;4976;897;-2802;-10406
;;;;;;;;;;;2644;-1.7;-6037;-8418
;;;;;;;;;;;4664;1195;735;-12887
;;;;;;;;;;;5851;6.94;-2021;-13458
;;;;;;;;;;;-1495;4.48;-2003;-9725
;;;;;;;;;;;26;6.19;-1577;-8902
;;;;;;;;;;;4991;7472;-4873;-6945
;;;;;;;;;;;503;5508;-1661;-4303
;;;;;;;;;;;-497;833;-1798;1834
;;;;;;;;;;;-1973;1918;-5307;3.08
;;;;;;;;;;;-2628;6129;-5201;1433
;;;;;;;;;;;-4298;1559;-6274;3772
;;;;;;;;;;;-4586;-1141;-5962;7.34
;;;;;;;;;;;2807;-1805;-1385;3837
;;;;;;;;;;;2763;-5439;1993;-2007
;;;;;;;;;;;0.88;-5184;218;-5903
;;;;;;;;;;;913;-3548;-2901;-8259
;;;;;;;;;;;-0.91;-5567;-1.42;-3758
;;;;;;;;;;;-888;-4.59;-2.12;-2327
;;;;;;;;;;;418;-6061;-6301;-8013
;;;;;;;;;;;466;-8493;-4768;-12.02
;;;;;;;;;;;-1369;-509;923;-12352
;;;;;;;;;;;1892;168;4726;-9.7
;;;;;;;;;;;-0.14;-4268;4814;-7421
;;;;;;;;;;;-5895;-136;-1.14;-1503
;;;;;;;;;;;-2024;-1885;-3884;6838
;;;;;;;;;;;-1432;-3286;-3737;6515
;;;;;;;;;;;-3905;589;-6664;8883
;;;;;;;;;;;-3241;-131;102;8363
;;;;;;;;;;;-2678;207;2755;1758
;;;;;;;;;;;-2128;3088;1159;1122
;;;;;;;;;;;-4477;3229;6103;-2222
;;;;;;;;;;;-4266;3238;2484;272
;;;;;;;;;;;-3139;3549;3571;3179
;;;;;;;;;;;-3485;3399;7.14;2738
;;;;;;;;;;;-1764;7288;4546;5787
;;;;;;;;;;;-2803;9798;5901;5.42
;;;;;;;;;;;-0.42;8186;3003;8.78
;;;;;;;;;;;971;7162;1845;11414
;;;;;;;;;;;792;6095;2134;12168
;;;;;;;;;;;4877;1769;1117;11582
;;;;;;;;;;;4868;886;-1063;9728
;;;;;;;;;;;5912;-169;-5481;9119
;;;;;;;;;;;5644;-7.5;-461;4451
;;;;;;;;;;;4.06;-4848;635;4099
;;;;;;;;;;;6267;-3.63;721;2455
;;;;;;;;;;;5388;-6255;-1898;-3487
;;;;;;;;;;;3768;0.31;-6942;-5465
;;;;;;;;;;;3631;1571;-632;-7568
;;;;;;;;;;;1.33;-1709;-2036;-6935
;;;;;;;;;;;-1306;15;-1735;-8259
;;;;;;;;;;;2099;2681;64;-14193
;;;;;;;;;;;2815;-1757;779;-11829
;;;;;;;;;;;-3131;-8089;2537;-11803
;;;;;;;;;;;576;-9879;-2551;-15287
;;;;;;;;;;;1013;-9496;-715;-12069
;;;;;;;;;;;-4937;-5807;0.43;-12513
;;;;;;;;;;;-932;-4747;2529;-5823
;;;;;;;;;;;-1349;-4827;3551;-394
;;;;;;;;;;;134;-119;5888;-2.41
;;;;;;;;;;;2223;-695;9939;2664
;;;;;;;;;;;-2106;1.22;6038;-5015
;;;;;;;;;;;-273;6636;7.28;-9474
;;;;;;;;;;;-4.68;5405;2833;-4473
;;;;;;;;;;;-8821;7898;1568;-6057
;;;;;;;;;;;-4505;6356;2428;8401
;;;;;;;;;;;-1979;2969;-4391;22125
;;;;;;;;;;;-1479;1138;-4342;24303
;;;;;;;;;;;-1441;932;-4713;25825
;;;;;;;;;;;-1626;5262;-2.08;21617
;;;;;;;;;;;-1191;1711;0.44;20382
;;;;;;;;;;;-1781;273;-123;15708
;;;;;;;;;;;-4367;-783;-1268;8746
;;;;;;;;;;;-1946;1422;-1734;6622
;;;;;;;;;;;1375;2856;-569;6119
;;;;;;;;;;;3951;-3791;-931;3656
;;;;;;;;;;;3832;495;2.55;-3047
;;;;;;;;;;;3482;-113;-3954;-8571
;;;;;;;;;;;6189;-1644;-7343;-12669
;;;;;;;;;;;2725;6298;-1563;-11696
;;;;;;;;;;;2334;2531;-5697;-13468
;;;;;;;;;;;1693;-2.91;-6039;-12056
;;;;;;;;;;;1452;-2512;-4831;-8408
;;;;;;;;;;;3547;-6.03;-5081;-15994
;;;;;;;;;;;381;-4633;-4661;-12782
;;;;;;;;;;;5304;-2897;-4895;-8223
;;;;;;;;;;;5219;-3972;-1.97;-8113
;;;;;;;;;;;-2222;446;649;-1042
;;;;;;;;;;;-2495;2496;285;-9844
;;;;;;;;;;;-3643;922;-6854;-15895
;;;;;;;;;;;-1191;-545;-7079;-2675
;;;;;;;;;;;-2044;4576;455;-333
;;;;;;;;;;;-6214;5543;548;995
;;;;;;;;;;;-515;-1074;-1825;8.88
;;;;;;;;;;;955;-593;1604;7.25
;;;;;;;;;;;-2168;-782;4985;5729
;;;;;;;;;;;-1134;-3446;2277;9929
;;;;;;;;;;;-901;-3808;2568;8744
;;;;;;;;;;;-3145;-3025;5758;2983
;;;;;;;;;;;-2915;-3.9;6373;5582
;;;;;;;;;;;1149;-2519;2996;5072
;;;;;;;;;;;4113;-881;1015;-786
;;;;;;;;;;;2527;998;3431;-2028
;;;;;;;;;;;-1265;2341;4951;-1235
;;;;;;;;;;;923;-1807;7231;339
;;;;;;;;;;;-426;2771;5.9;-1943
;;;;;;;;;;;-3775;4462;5259;-74
;;;;;;;;;;;-2421;374;7014;262
;;;;;;;;;;;-5508;1447;3.7;-3328
;;;;;;;;;;;-4046;1204;2242;-596
;;;;;;;;;;;-1211;4667;2545;2758
;;;;;;;;;;;-2199;5172;908;4902
;;;;;;;;;;;-28;-1189;-1.3;2673
;;;;;;;;;;;-27;-3137;-3074;1499
;;;;;;;;;;;1274;-726;-1703;5582
;;;;;;;;;;;5426;-2153;-422;7699
;;;;;;;;;;;2875;-133;-1764;5319
;;;;;;;;;;;1719;2007;-344;-1144
;;;;;;;;;;;1848;571;4654;-1161
;;;;;;;;;;;1073;3172;3.31;2581
;;;;;;;;;;;4.42;-1643;2172;1589
;;;;;;;;;;;3489;-1835;4338;6432
;;;;;;;;;;;4389;-506;-3015;10587
;;;;;;;;;;;2916;-3919;-3502;7169
;;;;;;;;;;;1606;-2077;-1604;4389
;;;;;;;;;;;5669;-69;-4926;4.64
;;;;;;;;;;;2055;5918;-2778;4593
;;;;;;;;;;;-443;3659;-6132;-1245
;;;;;;;;;;;-522;1721;-3489;-7286
;;;;;;;;;;;-22;1362;-7067;-7402
;;;;;;;;;;;36;403;-16151;-3656
;;;;;;;;;;;-2394;2545;-7636;-7592
;;;;;;;;;;;-2357;-4442;-7.01;-15439
;;;;;;;;;;;-1538;-1901;-7788;-17079
;;;;;;;;;;;-1477;-547;-6853;-21231
;;;;;;;;;;;-633;-2859;-10632;-20374
;;;;;;;;;;;-392;-37;-3317;-14954
;;;;;;;;;;;-2786;-3701;-847;-14349
;;;;;;;;;;;829;-2608;-5577;-8922
;;;;;;;;;;;1277;-1.69;-3091;-2.07
;;;;;;;;;;;-1008;-4903;1761;3068
;;;;;;;;;;;-692;-0.16;4181;10283
;;;;;;;;;;;-5995;2474;9.43;11881
;;;;;;;;;;;-2.53;781;14837;10348
;;;;;;;;;;;-1834;4135;14296;11489
;;;;;;;;;;;-4307;4276;13501;13442
;;;;;;;;;;;-0.77;2991;13234;14337
;;;;;;;;;;;-3049;-1772;12456;13353
;;;;;;;;;;;332;-1224;9284;11302
;;;;;;;;;;;1192;1368;5494;6983
;;;;;;;;;;;-1605;-2608;5485;5508
;;;;;;;;;;;-795;4657;4858;9762
;;;;;;;;;;;-3559;1791;4849;6162
;;;;;;;;;;;275;-1095;4336;251
;;;;;;;;;;;3652;2767;-1948;861
;;;;;;;;;;;1356;-557;-5349;-12163
;;;;;;;;;;;1552;388;369;-19774
;;;;;;;;;;;-626;-2992;367;-8855
;;;;;;;;;;;-614;3879;-3684;-3556
;;;;;;;;;;;3547;3978;-3224;-2037
;;;;;;;;;;;253;-2.23;-4926;-2838
;;;;;;;;;;;-1523;-1079;-3958;-972
;;;;;;;;;;;4167;-8744;-6419;928
;;;;;;;;;;;2622;-2795;-8185;349
;;;;;;;;;;;1.9;-3213;-5029;1744
;;;;;;;;;;;3676;-4454;-6848;-4411
;;;;;;;;;;;-392;-702;-3819;-9486
;;;;;;;;;;;-1452;-6369;-0.03;-6148
;;;;;;;;;;;396;-894;-2.86;-1945
;;;;;;;;;;;2574;0.49;-3074;4343
;;;;;;;;;;;1251;2492;761;8913
;;;;;;;;;;;277;781;-3527;5603
;;;;;;;;;;;2251;104;-5456;7537
;;;;;;;;;;;813;7055;-1228;10089
;;;;;;;;;;;351;4007;-3174;9118
;;;;;;;;;;;1097;4195;-2249;11783
;;;;;;;;;;;-1427;1707;-1608;10429
;;;;;;;;;;;-1862;-1509;-474;4577
;;;;;;;;;;;2917;-663;-595;-3929
;;;;;;;;;;;-1743;-862;886;-5476
;;;;;;;;;;;-2203;-2984;0.1;-6132
;;;;;;;;;;;4707;-152;-4435;-12443
;;;;;;;;;;;-1565;4119;3.73;-14427
;;;;;;;;;;;-3958;-2562;2047;-16576
;;;;;;;;;;;-1362;-848;-1992;-19372
;;;;;;;;;;;-92;-1925;-1029;-18068
;;;;;;;;;;;-1.49;-5.66;-1766;-11618
;;;;;;;;;;;-2323;-1202;5043;-1.6
;;;;;;;;;;;1316;-1243;4326;2665
;;;;;;;;;;;-4688;5885;5048;5209
;;;;;;;;;;;-5078;9205;7088;17175
;;;;;;;;;;;1911;3988;2.09;21023
;;;;;;;;;;;-2105;4114;526;19361
;;;;;;;;;;;-4121;5355;2246;15329
;;;;;;;;;;;-2051;5073;232;2825
;;;;;;;;;;;-1215;3714;-3809;0.64
;;;;;;;;;;;1.2;5999;-2867;-4886
;;;;;;;;;;;-1.59;5096;-717;-10657
;;;;;;;;;;;-1677;-2278;3583;-3781
;;;;;;;;;;;1043;-2.91;2359;-3227
;;;;;;;;;;;1515;-4.34;-2.03;-2999
;;;;;;;;;;;3729;-4.98;2478;-1818
;;;;;;;;;;;4555;-3285;4778;-2407
;;;;;;;;;;;6522;-7256;-221;2652
;;;;;;;;;;;4384;-2284;-737;-1876
;;;;;;;;;;;3229;-3483;3562;-2.26
;;;;;;;;;;;1092;-7646;5991;7916
;;;;;;;;;;;-3149;-2764;7631;4912
;;;;;;;;;;;922;-1027;3454;2347
;;;;;;;;;;;-349;1107;2615;-0.42
;;;;;;;;;;;-2263;-7026;4055;-223
;;;;;;;;;;;-635;-7354;641;3379
;;;;;;;;;;;702;-844;-1359;74
;;;;;;;;;;;-837;-659;-1499;986
;;;;;;;;;;;-2577;2.37;2.58;-2965
;;;;;;;;;;;2185;-3608;-747;-1504
;;;;;;;;;;;193;-3387;355;-27
;;;;;;;;;;;-836;2238;2969;-4252
;;;;;;;;;;;-133;327;-2048;-0.21
;;;;;;;;;;;2283;-1447;478;-4346
;;;;;;;;;;;5812;1061;-4724;-6513
;;;;;;;;;;;-896;0.94;-5181;-1844
;;;;;;;;;;;-3432;-1355;-1472;-3599
;;;;;;;;;;;-1.17;3.43;-4922;-5.91
;;;;;;;;;;;-218;2.22;-4473;-845
;;;;;;;;;;;-1.51;3023;-5037;5131
;;;;;;;;;;;-98;5646;-4407;4.65
;;;;;;;;;;;-1.73;2.77;-5546;3.71
;;;;;;;;;;;-3265;5.92;-4381;3531
;;;;;;;;;;;1394;5699;-6325;8353
;;;;;;;;;;;-3658;3092;-7591;11143
;;;;;;;;;;;-1365;5643;-7175;6732
;;;;;;;;;;;1876;9452;-11062;5.98
;;;;;;;;;;;-933;5726;-4875;1857
;;;;;;;;;;;1233;311;-5529;-2646
;;;;;;;;;;;-616;2928;-5579;2.87
;;;;;;;;;;;777;3.3;-3119;3828
;;;;;;;;;;;-588;-2735;-145;457
;;;;;;;;;;;-2457;-6205;8.7;883
;;;;;;;;;;;2181;982;5226;-2362
;;;;;;;;;;;742;2636;8.5;-8332
;;;;;;;;;;;1611;-4.51;7568;-11.74
;;;;;;;;;;;4103;-3924;2374;-11486
;;;;;;;;;;;-2146;-883;7133;-12221
;;;;;;;;;;;-1787;-1174;5552;-11677
;;;;;;;;;;;0.33;-3615;7.25;-9848
;;;;;;;;;;;-1722;-4472;8707;-12009
;;;;;;;;;;;-37;-3487;4953;-10658
;;;;;;;;;;;1107;-4618;2656;-6332
;;;;;;;;;;;2.96;-6604;6.33;-2245
;;;;;;;;;;;0.56;-4756;6043;2313
;;;;;;;;;;;4;-3655;1962;6223
;;;;;;;;;;;-145;-8034;3.7;7833
;;;;;;;;;;;0.15;-6.87;878;8647
;;;;;;;;;;;5334;-2177;1933;13365
;;;;;;;;;;;141;-819;2945;14321
;;;;;;;;;;;-1327;3595;-2299;12808
;;;;;;;;;;;-124;2194;-1109;10993
;;;;;;;;;;;-1607;-2.96;164;6215
;;;;;;;;;;;2413;2134;-2037;7926
;;;;;;;;;;;-1671;2883;-0.03;9056
;;;;;;;;;;;-1458;2012;186;5102
;;;;;;;;;;;-1559;5867;-3015;2975
;;;;;;;;;;;-5528;4842;-578;-602
;;;;;;;;;;;1727;3006;-2763;-5767
;;;;;;;;;;;-449;-1685;-4.33;-9232
;;;;;;;;;;;-1198;-2611;605;-10947
;;;;;;;;;;;1647;978;-1.83;-11561
;;;;;;;;;;;-1291;1243;-2283;-12562
;;;;;;;;;;;936;3741;-2267;-10625
;;;;;;;;;;;-1754;5217;-5438;-4517
;;;;;;;;;;;554;3674;-5581;-3252
;;;;;;;;;;;3586;3039;-2842;762
;;;;;;;;;;;414;885;554;7596
;;;;;;;;;;;-511;784;-3.78;6.22
;;;;;;;;;;;-2735;4653;-5475;6627
;;;;;;;;;;;-1551;1499;-2023;8.69
;;;;;;;;;;;175;-3505;-2299;6174
;;;;;;;;;;;599;-951;-475;1995
;;;;;;;;;;;-174;953;3.71;27
;;;;;;;;;;;-167;-356;4148;1558
;;;;;;;;;;;2.37;-552;3125;382
;;;;;;;;;;;2.28;3.35;2788;-4857
;;;;;;;;;;;1703;4164;1989;-5205
;;;;;;;;;;;1729;-2076;-1395;-1792
;;;;;;;;;;;0.96;-3.5;-2752;-1465
;;;;;;;;;;;1206;-1183;781;-4604
;;;;;;;;;;;189;954;-4769;-6938
;;;;;;;;;;;-2398;-95;-9.32;-4088
;;;;;;;;;;;-593;-1008;-9943;-3163
;;;;;;;;;;;144;1145;-10377;-3419
;;;;;;;;;;;-1384;-3211;-5688;-2406
;;;;;;;;;;;-399;-675;-5621;355
;;;;;;;;;;;899;0.61;-4.16;4612
;;;;;;;;;;;-973;-2669;-1199;4057
;;;;;;;;;;;-2928;1356;768;2497
;;;;;;;;;;;1433;-1911;3064;4587
;;;;;;;;;;;-0.47;-3999;15083;9619
;;;;;;;;;;;-2509;-1499;25891;8159
;;;;;;;;;;;-868;-146;20116;4283
;;;;;;;;;;;-3628;-4398;18256;2559
;;;;;;;;;;;-1028;-8797;15754;4807
;;;;;;;;;;;1201;-4283;14083;9373
;;;;;;;;;;;2015;-2413;11251;1904
;;;;;;;;;;;-158;-1033;995;846
;;;;;;;;;;;1.89;0.49;564;4881
;;;;;;;;;;;4.84;2286;-2674;1423
;;;;;;;;;;;1.46;3053;-10023;-1487
;;;;;;;;;;;4.05;-568;-9361;-7559
;;;;;;;;;;;642;-724;-11181;-10894
;;;;;;;;;;;-2531;2585;-13005;-10843
;;;;;;;;;;;-3542;4709;-9006;-10962
;;;;;;;;;;;-2.77;5488;-7514;-11.52
;;;;;;;;;;;1445;7169;-9627;-10957
;;;;;;;;;;;19;5024;-8291;-6418
;;;;;;;;;;;3513;-2524;-6908;-7912
;;;;;;;;;;;2588;-1846;-6069;-10758
;;;;;;;;;;;-0.3;3296;-914;-5046
;;;;;;;;;;;1821;-2703;-767;-2801
;;;;;;;;;;;-782;-3149;-969;573
;;;;;;;;;;;-2207;-475;1572;5321
;;;;;;;;;;;-1.11;-3494;2072;2708
;;;;;;;;;;;-138;-1196;4.11;4474
;;;;;;;;;;;-1409;-3935;-1061;7534
;;;;;;;;;;;-4.15;-1752;-2353;10022
;;;;;;;;;;;-1789;1724;1973;12116
;;;;;;;;;;;1249;895;633;9529
;;;;;;;;;;;757;4335;1998;7428
;;;;;;;;;;;-2347;-2531;746;8986
;;;;;;;;;;;-3016;-2216;2124;9053
;;;;;;;;;;;3.52;3365;7.24;8274
;;;;;;;;;;;2334;509;2349;7.86
;;;;;;;;;;;-2765;3246;-1.38;-1853
;;;;;;;;;;;-1554;3241;2666;-5409
;;;;;;;;;;;-2.83;0.21;-473;238
;;;;;;;;;;;-2268;2913;-3058;-105
;;;;;;;;;;;179;6518;3.78;-3768
;;;;;;;;;;;244;5753;633;-4.07
;;;;;;;;;;;92;3598;-1015;-1453
;;;;;;;;;;;-0.18;-448;4608;-1995
;;;;;;;;;;;21;-2507;3503;-2041
;;;;;;;;;;;-508;-223;2793;-6157
;;;;;;;;;;;21;-2632;-1196;-8709
;;;;;;;;;;;5358;-2802;-4804;-7208
;;;;;;;;;;;3214;-2907;-2.8;-9306
;;;;;;;;;;;-1081;-5193;3282;-5018
;;;;;;;;;;;6522;-3.23;4902;-876
;;;;;;;;;;;4808;-1381;-0.75;-2.6
;;;;;;;;;;;651;-394;3486;1167
;;;;;;;;;;;4629;-3814;4564;6165
;;;;;;;;;;;883;-3514;2182;6128
;;;;;;;;;;;-1547;2788;3787;8846
;;;;;;;;;;;982;-201;964;8005
;;;;;;;;;;;1689;-3179;3026;5277
;;;;;;;;;;;923;-2725;-174;3886
;;;;;;;;;;;-1086;-3257;-879;1488
;;;;;;;;;;;-2346;-1882;1859;3101
;;;;;;;;;;;-717;-3525;-4926;0.54
;;;;;;;;;;;-2619;-862;-2196;2545
;;;;;;;;;;;-3.44;2338;-2959;2554
;;;;;;;;;;;3216;149;-6284;-4061
;;;;;;;;;;;-0.07;-841;-7213;-4591
;;;;;;;;;;;-3299;4039;-10546;-7623
;;;;;;;;;;;0.14;5565;-5309;-8431
;;;;;;;;;;;-3708;-1596;-5821;-8183
;;;;;;;;;;;-2828;52;-3422;-11992
;;;;;;;;;;;2012;4835;-1296;-11828
;;;;;;;;;;;208;4036;-1665;-6088
;;;;;;;;;;;-4539;1989;3141;-6099
;;;;;;;;;;;-3145;4976;-3232;-9.27
;;;;;;;;;;;-1735;2416;-1671;-6236
;;;;;;;;;;;-3.71;-425;4165;-3115
;;;;;;;;;;;-1848;6269;2709;143
;;;;;;;;;;;-4546;66;5207;3186
;;;;;;;;;;;-1845;1202;6969;9933
;;;;;;;;;;;3686;3496;6.14;12839
;;;;;;;;;;;-1843;-3773;4.91;10723
;;;;;;;;;;;-392;-2203;6994;10604
;;;;;;;;;;;4.18;-2765;5796;8582
;;;;;;;;;;;-1245;-1442;7727;11.93
;;;;;;;;;;;0.75;999;6639;12744
;;;;;;;;;;;4286;-346;-4029;7524
;;;;;;;;;;;164;-4754;-4.8;4853
;;;;;;;;;;;3884;-2135;-3656;6443
;;;;;;;;;;;2508;1691;-3918;6604
;;;;;;;;;;;526;-3961;-6444;5418
;;;;;;;;;;;4858;-4078;-3117;2716
;;;;;;;;;;;3303;-2947;3134;-7984
;;;;;;;;;;;4273;-397;-2.48;-12994
;;;;;;;;;;;2.9;821;-2.54;-9135
;;;;;;;;;;;798;-2642;-5065;-3777
;;;;;;;;;;;-668;-1.86;-5039;-4048
;;;;;;;;;;;-2548;-1665;-1513;-6847
;;;;;;;;;;;1915;1409;-1.39;-7928
;;;;;;;;;;;3366;2414;5232;-7099
;;;;;;;;;;;-1.57;-1558;2198;-2191
;;;;;;;;;;;-3079;3.31;-176;-1621
;;;;;;;;;;;1223;4743;-0.36;0.82
;;;;;;;;;;;-366;907;-2439;358
;;;;;;;;;;;-2038;-1136;-2751;917
;;;;;;;;;;;-778;1303;-4756;5132
;;;;;;;;;;;-2173;8502;-1768;907
;;;;;;;;;;;-1.21;1477;-4093;3646
;;;;;;;;;;;-2295;-303;-3567;6699
;;;;;;;;;;;-1.67;1582;-355;2179
;;;;;;;;;;;-2392;-3.1;0.95;2.75
;;;;;;;;;;;-2198;-1305;6641;3858
;;;;;;;;;;;631;-6143;8527;1304
;;;;;;;;;;;-2809;-992;7.82;-569
;;;;;;;;;;;-2493;2926;6.74;-3786
;;;;;;;;;;;-364;-3748;6.3;-11166
;;;;;;;;;;;3509;-343;4832;-12452
;;;;;;;;;;;2197;-0.51;5.06;-9577
;;;;;;;;;;;-3058;-3481;-3235;-9182
;;;;;;;;;;;-1157;-612;-11467;-5178
;;;;;;;;;;;-738;5879;-1.93;-6113
;;;;;;;;;;;1904;5199;-373;-7364
;;;;;;;;;;;1296;3055;-3488;-3057
;;;;;;;;;;;-1069;4731;1333;-886
;;;;;;;;;;;171;242;4376;3195
;;;;;;;;;;;1.99;-1888;5958;4979
;;;;;;;;;;;2305;0.43;6175;3436
;;;;;;;;;;;-1472;0.8;4.31;7238
;;;;;;;;;;;-1336;-2.54;1797;16029
;;;;;;;;;;;3813;-5682;-503;18396
;;;;;;;;;;;4673;-8603;-2.69;16.17
;;;;;;;;;;;-558;-6007;-2328;14075
;;;;;;;;;;;1.72;-2291;-4.26;9818
;;;;;;;;;;;1033;-6373;-7349;3715
;;;;;;;;;;;-1241;-2028;-6017;-3.16
;;;;;;;;;;;-0.34;2476;-6.36;-3348
;;;;;;;;;;;-4494;1373;-7993;-4.31
;;;;;;;;;;;-1367;5252;-2437;-4.06
;;;;;;;;;;;-2032;4736;5.14;-2768
;;;;;;;;;;;-1986;-1006;1385;-7763
;;;;;;;;;;;3102;-1259;2536;-4539
;;;;;;;;;;;767;2.24;8239;-2284
;;;;;;;;;;;-1227;1825;2609;-6402
;;;;;;;;;;;0.54;-407;-315;-6195
;;;;;;;;;;;571;1731;-3843;-8238
;;;;;;;;;;;231;6.34;-5867;-10356
;;;;;;;;;;;5563;1666;-1318;-9953
;;;;;;;;;;;2.82;785;-2373;-5594
;;;;;;;;;;;-1585;4851;-1963;823
;;;;;;;;;;;2144;-1835;829;1.93
;;;;;;;;;;;655;-933;-2555;2545
;;;;;;;;;;;-1771;4569;-2472;3.05
;;;;;;;;;;;-3129;2763;68;7449
;;;;;;;;;;;-2745;1571;-3016;10.2
;;;;;;;;;;;-641;3512;-3326;6193
;;;;;;;;;;;-765;4662;-684;5053
;;;;;;;;;;;-4206;1161;2.58;1762
;;;;;;;;;;;-5024;-1431;1627;5
;;;;;;;;;;;1505;-1349;5371;282
;;;;;;;;;;;-48;-1243;10237;-1839
;;;;;;;;;;;-2078;-1026;1927;-1302
;;;;;;;;;;;1979;-909;597;-495
;;;;;;;;;;;311;-0.97;-1526;129
;;;;;;;;;;;1173;-3.54;-2732;-2138
;;;;;;;;;;;5515;-7297;1327;-1538
;;;;;;;;;;;3724;-6136;145;2438
;;;;;;;;;;;1248;-4543;1398;-103
;;;;;;;;;;;3413;-5714;-0.04;891
;;;;;;;;;;;-63;-8005;1773;1409
;;;;;;;;;;;-2994;-5428;-102;-666
;;;;;;;;;;;-1311;3921;2314;-36
;;;;;;;;;;;-295;3935;6311;-2244
;;;;;;;;;;;0.75;-2605;-229;1714
;;;;;;;;;;;-929;-5285;3962;-0.72
;;;;;;;;;;;46;91;225;-5715
;;;;;;;;;;;-1837;3894;-7169;3986
;;;;;;;;;;;-3467;-301;-5458;5307
;;;;;;;;;;;153;709;-2642;-372
;;;;;;;;;;;-688;-0.64;1384;-2176
;;;;;;;;;;;-963;3571;-1149;-4553
;;;;;;;;;;;2071;5347;2453;-3524
;;;;;;;;;;;1112;96;6387;0.65
;;;;;;;;;;;-1465;5432;0.88;1303
;;;;;;;;;;;305;2614;1.47;-172
;;;;;;;;;;;968;2642;2745;3.1
;;;;;;;;;;;-302;5126;-443;2208
;;;;;;;;;;;159;2.95;1732;1879
;;;;;;;;;;;-769;4795;-2301;1631
;;;;;;;;;;;-735;3075;-5425;-5408
;;;;;;;;;;;4958;4878;-914;-1937
;;;;;;;;;;;4536;-149;-394;-222
;;;;;;;;;;;-1673;-3833;3.74;-2418
;;;;;;;;;;;-2429;-502;-1657;-0.93
;;;;;;;;;;;-2242;-2998;-3.82;-2963
;;;;;;;;;;;-92;2.19;104;-1322
;;;;;;;;;;;205;1033;-5.28;-0.48
;;;;;;;;;;;2.25;-7265;-1183;1619
;;;;;;;;;;;2664;-1165;-3799;2075
;;;;;;;;;;;-1.63;-1001;-8613;1585
;;;;;;;;;;;2101;-3591;-2416;1809
;;;;;;;;;;;565;-453;-765;-1586
;;;;;;;;;;;-1521;-6315;-1017;-1153
;;;;;;;;;;;-318;-5625;679;-1804
;;;;;;;;;;;-2154;-51;3562;-669
;;;;;;;;;;;1988;1811;4886;-2059
