name_muscle;angles_1;angles_2;emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;178.45;160.83;-3.177;6.063;-14.413;-2.035
;178.43;160.83;-4.048;6.389;-15.027;-2.181
;178.41;160.83;-3.422;3.593;-20.6;0.156
;178.39;160.83;-1.365;9.785;-21.654;2.501
;178.37;160.83;-3.686;13.608;-23.515;-0.185
;178.36;160.83;-1.695;7.007;-25.208;1.37
;178.34;160.83;-0.939;8.283;-23.434;-0.151
;178.32;160.83;-1.949;13.56;-13.311;6.944
;178.3;160.83;-1.304;9.012;-5.193;9.353
;178.28;160.83;0.871;4.938;-4.431;7.018
;178.26;160.83;-1.594;0.284;-5.828;9.822
;178.24;160.83;-2.597;-6.485;-1.75;4.655
;178.22;160.84;-1.687;-5.645;-0.703;1.276
;178.2;160.84;-0.135;-8.418;-2.361;-0.221
;178.18;160.84;4.602;-17.969;1.035;-3.939
;178.16;160.85;5.221;-22.504;-0.268;-1.562
;178.14;160.85;10.982;-24.244;-0.54;0.366
;178.12;160.86;7.528;-24.308;-1.707;-2.568
;178.1;160.86;4.87;-30.417;-2.333;-4.247
;178.08;160.87;4.005;-20.197;2.563;-3.365
;178.05;160.87;-7.855;9.876;1.792;-5.452
;178.03;160.88;-8.23;17.385;0.294;-7.152
;178.01;160.89;-5.738;10.565;2.574;-3.264
;177.99;160.89;1.537;2.286;3.876;-1.707
;177.97;160.9;2.188;-0.713;3.086;-3.899
;177.94;160.9;-0.866;2.366;4.152;-2.459
;177.92;160.91;0.931;6.65;6.413;1.774
;177.9;160.91;-3.545;11.683;4.278;-0.177
;177.88;160.92;-2.975;1.729;3.339;-1.761
;177.86;160.92;-3.714;-0.387;1.256;2.078
;177.84;160.93;-3.207;9.076;0.042;0.76
;177.82;160.93;-4.467;12.364;4.38;1.232
;177.79;160.94;-6.042;16.395;2.731;3.095
;177.77;160.94;-5.557;12.997;1.353;0.338
;177.75;160.95;-5.65;8.332;2.264;2.112
;177.73;160.95;-0.455;7.648;1.385;2.439
;177.71;160.96;6.841;3.365;4.907;-2.22
;177.69;160.96;11.159;2.462;4.435;-4.818
;177.67;160.96;9.66;1.483;1.515;-3.752
;177.65;160.97;10.954;-2.563;4.332;0.053
;177.63;160.97;5.877;-6.568;4.438;0.618
;177.61;160.98;-1.167;-4.338;1.09;-1.486
;177.59;160.98;-1.231;0.695;-1.717;-1.358
;177.57;160.98;2.242;-8.987;-2.166;-0.289
;177.55;160.99;4;-13.728;4.548;-0.377
;177.53;160.99;-0.622;-13.395;3.853;0.499
;177.52;160.99;0.258;-12.962;-4.529;-2.541
;177.5;160.99;-3.757;0.868;-5.422;-5.291
;177.48;160.99;-9.305;3.049;-4.371;1.375
;177.46;161;-7.154;2.87;-2.295;3.948
;177.45;161;-3.212;6.805;-4.204;2.061
;177.43;161;1.608;7.734;-5.283;0.659
;177.41;161;-0.054;7.781;-0.911;2.471
;177.39;160.99;-1.958;-0.161;-2.148;3.466
;177.37;160.99;3.144;-3.107;-0.616;-0.57
;177.36;160.99;3.767;-5.492;0.922;3.238
;177.34;160.99;-2.882;-7.447;-3.342;2.162
;177.32;160.98;-2.749;-8.109;-2.212;-3.107
;177.3;160.98;-5.799;-11.632;0.081;-1.541
;177.28;160.98;-6.155;-10.789;-2.267;-0.269
;177.26;160.97;3.67;-6.743;0.342;0.773
;177.24;160.97;-0.309;-7.068;3.89;-0.652
;177.22;160.97;-2.176;-5.341;0.457;-0.008
;177.2;160.96;2.527;0.166;0.902;1.847
;177.18;160.96;4.283;-1.344;3.479;-0.748
;177.16;160.95;8.601;4.741;1.072;-5.072
;177.14;160.95;10.667;8.459;0.201;-4.52
;177.12;160.95;8.73;12.607;-1.803;3.256
;177.1;160.94;-1.496;21.261;-3.153;4.032
;177.08;160.94;-6.357;14.257;1.429;-0.807
;177.05;160.94;-7.503;12.702;-0.333;0.248
;177.03;160.93;-12.156;18.733;-1.626;1.271
;177.01;160.93;-13.392;16.743;2.602;2.542
;176.99;160.93;-11.851;7.541;1.28;3.396
;176.96;160.92;-3.721;2.563;-0.46;1.631
;176.94;160.92;3.775;-3.832;-2.148;2.535
;176.92;160.92;12.226;-11.516;-3.394;3.648
;176.9;160.91;13.266;-9.104;-2.58;1.765
;176.87;160.91;12.778;-10.221;-0.153;-0.615
;176.85;160.9;16.731;-8.211;0.132;1.032
;176.83;160.9;7.055;-5.889;-3.165;1.214
;176.81;160.89;1.901;-1.177;-3.115;-2.826
;176.79;160.89;-4.95;-1.563;2.891;-3.094
;176.77;160.88;-6.68;-15.739;6.186;-0.663
;176.75;160.88;1.453;-9.541;-0.413;-1.17
;176.73;160.87;-2.963;-8.785;0.27;-1.758
;176.71;160.86;-1.382;-14.503;2.447;0.843
;176.69;160.86;-2.37;-7.915;0.535;0.048
;176.67;160.85;-1.192;-13.457;2.407;-3.253
;176.65;160.84;1.308;-9.985;0.693;-4.417
;176.63;160.83;-4.224;-3.327;2.647;-4.305
;176.61;160.82;-1.116;0.355;3.789;-2.761
;176.59;160.82;-4.344;6.748;0.066;-2.398
;176.57;160.81;-3.557;4.545;-2.401;-4.14
;176.55;160.8;-4.506;10.72;0.688;-3.742
;176.53;160.79;-6.201;14.833;3.817;-2.36
;176.51;160.78;-1.444;14.779;1.278;0.889
;176.49;160.77;-6.136;15.846;1.032;8.72
;176.47;160.76;-1.219;12.738;-1.341;8.471
;176.45;160.75;-3.361;16.856;-1.484;4.418
;176.43;160.74;-7.005;16.879;-1.021;3.707
;176.41;160.73;-0.765;11.713;-3.787;0.048
;176.39;160.72;-0.566;5.667;-0.767;-1.008
;176.37;160.71;1.9;0.379;3.247;-4.437
;176.34;160.7;2.512;0.671;2.584;-5.635
;176.32;160.69;4.78;-1.796;-2.016;3.277
;176.3;160.68;5.264;-1.186;-3.217;5.208
;176.28;160.67;4.766;-7.123;-1.175;1.691
;176.25;160.66;4.737;-15.336;0.312;0.721
;176.23;160.65;4.773;-9.412;-0.412;-2.985
;176.21;160.64;7.287;-7.976;-5.289;-0.671
;176.18;160.63;4.623;-8.643;-2.823;1.618
;176.16;160.62;3.829;-12.979;1.522;-2.073
;176.14;160.61;4.241;-17.117;-2.269;0.145
;176.11;160.6;3.607;-11.9;-0.8;-0.396
;176.09;160.59;0.612;-13.253;1.244;-1.262
;176.06;160.58;0.351;-7.878;-3.038;1.332
;176.04;160.57;0.044;-3.103;-1.508;0.431
;176.01;160.56;-3.023;-4.091;0.935;0.097
;175.98;160.55;-0.395;-1.94;1.817;-0.959
;175.96;160.54;-0.459;-3.668;1.834;-1.002
;175.93;160.54;-0.666;-0.512;-1.036;-2.336
;175.9;160.53;-1.165;2.709;2.655;-1.993
;175.88;160.52;-0.854;10.274;2.332;2.515
;175.85;160.52;-1.927;12.206;0.215;0.141
;175.82;160.51;-4.188;11.706;2.781;-1.723
;175.79;160.5;-5.674;15.868;0.592;-0.808
;175.76;160.5;-10.776;9.731;0.34;-2.686
;175.73;160.5;-6.182;10.767;0.721;-1.805
;175.7;160.49;-5.22;7.396;1.089;-0.335
;175.67;160.49;-6.588;6.069;0.718;0.2
;175.64;160.49;-2.78;14.108;-1.291;-0.815
;175.61;160.48;-0.858;7.694;-2.32;2.128
;175.58;160.48;2.829;2.433;2.254;5.077
;175.55;160.48;-1.373;9.23;4.048;0.959
;175.52;160.48;-3.734;9.498;-3.749;1.851
;175.49;160.48;-5.012;1.303;-1.713;-0.107
;175.46;160.48;-4.075;4.58;-0.782;1.648
;175.43;160.48;0.664;5.47;-1.273;5.243
;175.39;160.48;-1.382;-0.123;2.1;-1.848
;175.36;160.48;6.539;-8.901;2.085;1.715
;175.33;160.49;16.6;-23.252;1.996;3.61
;175.3;160.49;15.711;-26.264;-1.007;-1.494
;175.27;160.49;12.992;-28.015;2.042;2.714
;175.24;160.5;15.793;-28.089;1.779;4.687
;175.2;160.5;15.604;-23.657;-0.946;-1.297
;175.17;160.5;6.668;-20.562;-1.697;-1.492
;175.14;160.51;3.005;-13.184;-1.016;0.971
;175.11;160.51;0.556;-6.848;1.071;-1.726
;175.07;160.52;-3.209;-5.737;-4.485;-2.707
;175.04;160.52;-8.727;0.687;-2.12;-5.301
;175.01;160.53;-15.354;14.114;-2.138;-3.137
;174.98;160.53;-8.845;14.356;-5.174;0.162
;174.94;160.54;0.369;12.49;0.004;-0.457
;174.91;160.55;3.332;15.756;0.98;-0.585
;174.87;160.55;-2.274;17.026;-0.947;-4.048
;174.84;160.56;-12.116;20.319;0.803;-1.271
;174.8;160.57;-8.006;15.394;4.374;1.383
;174.77;160.57;-5.828;15.703;0.389;-1.859
;174.74;160.58;-7.722;16.876;0.602;-2.621
;174.7;160.58;-8.455;14.113;2.873;-2.391
;174.67;160.59;-10.742;18.468;-0.018;-0.598
;174.63;160.6;-4.561;15.455;-0.878;0.121
;174.6;160.6;-4.727;14.024;-0.629;-1.673
;174.57;160.61;-3.467;10.486;1.511;-0.574
;174.53;160.61;1.262;3.455;-1.216;0.409
;174.5;160.62;0.781;2.344;0.771;1.608
;174.47;160.62;4.38;-4.147;-1.681;2.64
;174.44;160.63;4.903;-8.89;-6.267;0.497
;174.41;160.63;4.805;-15.049;1.164;1.943
;174.38;160.63;5.714;-23.182;-1.186;2.302
;174.35;160.64;5.66;-26.226;-1.899;1.328
;174.32;160.64;3.237;-28.223;0.704;0.978
;174.29;160.65;3.786;-25.379;1.318;0.693
;174.26;160.65;9.894;-24.021;2.662;2.798
;174.23;160.65;8.266;-24.808;-1.678;-0.046
;174.2;160.66;7.359;-22.889;-1.283;-1.398
;174.17;160.66;9.707;-15.237;1.286;-0.918
;174.15;160.67;4.972;-9.474;4.343;-2.369
;174.12;160.67;4.905;-5.785;4.032;1.176
;174.09;160.67;5.861;9.973;1.042;2.933
;174.06;160.68;-0.059;9.903;-2.605;0.117
;174.03;160.68;0.772;1.453;-2.046;-0.918
;174;160.68;0.964;4.354;6.076;-0.985
;173.97;160.69;-1.157;11.015;1.15;-1.643
;173.94;160.69;1.87;20.771;-0.662;0.969
;173.91;160.69;-0.064;14.095;1.364;3.803
;173.88;160.69;-6.506;15.98;-1.277;2.917
;173.85;160.69;-11.465;23.258;4.717;-0.008
;173.82;160.7;-11.814;17.407;1.182;-1.263
;173.79;160.7;-10.83;20.392;-1.2;2.252
;173.76;160.7;-10.972;18.595;0.661;0.782
;173.73;160.7;-7.428;11.925;-1.154;-1.799
;173.7;160.7;-4.013;10.134;0.354;-0.136
;173.66;160.7;-1.256;7.17;-1.425;0.099
;173.63;160.69;-0.229;4.345;0.297;2.131
;173.6;160.69;-1.497;2.922;1.064;1.805
;173.57;160.69;0.287;1.398;0.382;1.358
;173.54;160.69;1.179;5.061;-2.781;0.324
;173.51;160.68;3.572;1.549;-2.673;-2.584
;173.48;160.68;3.82;-11.347;2.613;-1.153
;173.45;160.67;3.361;-16.514;-2.904;-0.587
;173.42;160.67;6.528;-21.925;-4.175;-2.542
;173.39;160.66;2.694;-24.988;-0.384;-1.943
;173.36;160.66;0.087;-23.691;1.465;-0.757
;173.34;160.65;1.64;-17.759;-1.204;-3.548
;173.31;160.64;2.881;-10.448;-5.205;-2.023
;173.28;160.64;0.368;-10.351;-2.149;0.859
;173.25;160.63;-3.693;-6.696;-2.772;-0.307
;173.23;160.63;-0.933;-2.923;-3.107;-0.901
;173.2;160.62;1.791;-0.007;-0.534;-1.872
;173.18;160.62;0.953;4.408;2.115;-2.577
;173.15;160.62;-2.236;3.547;1.529;-6.758
;173.13;160.61;-3.168;5.422;-1.9;-7.234
;173.11;160.61;-0.319;7.093;0.413;0.474
;173.08;160.61;2.043;6.264;0.179;3.534
;173.06;160.61;-1.552;10.644;-0.724;1.477
;173.04;160.61;-5.045;10.053;2.156;1.923
;173.01;160.61;-2.72;4.934;1.257;2.541
;172.99;160.62;0.131;4.577;0.931;3.221
;172.97;160.62;2.404;8.373;0.247;0.699
;172.94;160.62;-0.873;5.316;-0.419;-1.851
;172.92;160.63;1.491;-0.6;2.415;5.216
;172.9;160.64;4.343;0.004;4.294;5.206
;172.88;160.64;0.62;-3.453;4.652;0.653
;172.85;160.65;3.58;-2.185;-0.233;2.968
;172.83;160.66;2.808;-0.024;-2.354;2.281
;172.8;160.67;3.033;-1.379;1.498;0.804
;172.78;160.68;4.989;-2.424;2.848;3.838
;172.76;160.68;-0.416;-3.838;3.426;4.965
;172.73;160.69;-1.997;1.767;1.736;-0.885
;172.71;160.7;-3.782;-0.306;2.513;0.094
;172.68;160.71;-8.834;-2.888;3.551;3.513
;172.66;160.72;-4.083;0.18;-1.278;1.546
;172.64;160.73;6.083;-4.289;-0.866;1.693
;172.61;160.74;7.844;-5.154;1.195;-3.028
;172.59;160.75;8.919;0.376;-2.178;-3.229
;172.56;160.75;10.427;-3.704;-2.49;-1.346
;172.53;160.76;2.727;-4.485;-3.342;-5.07
;172.51;160.77;-2.48;1.616;-3.216;-2.669
;172.48;160.78;-3.333;-0.439;-1.184;-0.701
;172.45;160.79;-3.138;-1.566;-4.128;-0.905
;172.43;160.8;-0.135;-5.746;-1.824;-2.339
;172.4;160.81;-3.773;-4.326;0.942;-2.299
;172.37;160.82;-3.208;-1.544;-2.238;-3.726
;172.34;160.83;-1.2;-0.96;-0.215;-6.916
;172.31;160.84;-3.456;3.369;0.523;-1.736
;172.29;160.85;-1.5;1.979;-1.282;-2.424
;172.26;160.86;-4.017;3.093;3.219;-5.659
;172.23;160.87;-1.622;4.338;0.994;-4.077
;172.2;160.87;1.324;6.793;-0.455;-0.244
;172.17;160.88;-1.695;6.284;0.592;3.692
;172.14;160.89;0.41;7.935;-4.408;2.054
;172.11;160.9;4.267;5.134;0.607;2.566
;172.08;160.91;2.628;-0.171;0.669;1.173
;172.05;160.92;-5.395;4.385;-2.17;1.813
;172.03;160.93;-7.328;3.557;-0.399;6.387
;172;160.94;-6.075;7.335;-1.804;4.456
;171.97;160.95;-4.852;9.695;1.863;2.422
;171.94;160.96;-3.847;10.811;1.511;4.232
;171.91;160.97;-5.402;9.12;-1.614;4.796
;171.88;160.98;-1.677;5.227;-1.529;1.042
;171.85;160.99;0.194;11.349;1.5;-1.782
;171.82;161.01;0.519;8.615;1.443;-2.098
;171.8;161.02;2.686;-4.888;1.893;-1.874
;171.77;161.03;2.78;-10.12;4.389;0.943
;171.74;161.04;2.101;-5.63;-3.625;1.443
;171.72;161.05;2.042;-14.155;-1.817;0.95
;171.69;161.06;4.628;-18.666;3.337;5.054
;171.67;161.07;4.469;-12.626;-1.73;4.131
;171.64;161.07;7.218;-19.6;1.192;-3.428
;171.62;161.08;13.158;-23.8;1.607;-4.828
;171.6;161.09;6.805;-17.888;-0.872;0.519
;171.58;161.1;3.505;-13.66;2.078;1.852
;171.55;161.1;6.481;-7.488;3.243;-1.662
;171.53;161.11;0.141;-0.609;2.795;-0.381
;171.51;161.11;-2.986;-3.748;1.184;2.266
;171.49;161.12;-6.149;2.986;0.678;-2.262
;171.47;161.12;-6.22;5.797;-0.9;-3.107
;171.46;161.12;3.106;-2.97;-1.241;-0.736
;171.44;161.13;2.936;2.843;0.094;-2.361
;171.43;161.13;0.183;3.043;-3.034;-2.044
;171.41;161.13;-3.163;5.912;-1.958;-4.618
;171.4;161.13;-5.768;11.904;1.385;-3.26
;171.38;161.13;-5.987;11.874;-0.889;-0.491
;171.37;161.12;-11.744;14.572;-0.345;-1.468
;171.36;161.12;-8.589;14.509;3.301;0.922
;171.35;161.12;-5.446;17.332;0.961;0.153
;171.34;161.11;-4.867;10.784;-1.699;2.74
;171.33;161.11;3.954;4.787;-0.903;1.616
;171.32;161.1;5.063;3.95;-0.494;-1.26
;171.32;161.09;1.158;1.435;0.151;-0.056
;171.31;161.09;2.631;3.455;-2.289;-1.958
;171.31;161.08;1.606;1.017;-2.111;1.396
;171.31;161.07;0.077;3.268;-0.905;-2.52
;171.31;161.06;2.217;3.543;-1.59;-3.203
;171.31;161.06;3.552;3.366;-2.516;0.095
;171.31;161.05;2.922;6.077;-4.414;-4.592
;171.31;161.04;0.806;0.544;-1.089;-0.32
;171.32;161.03;6.671;-0.427;-1.218;0.38
;171.32;161.02;10.393;-5.333;0.08;-0.817
;171.33;161.01;4.105;-12.749;2.06;-3.531
;171.34;160.99;1.599;-11.262;3.819;-4.644
;171.35;160.98;1.314;-18.513;5.605;2.263
;171.36;160.97;2.089;-26.476;-2.332;6.564
;171.37;160.96;1.414;-23.881;0.223;11.591
;171.38;160.94;5.58;-20.126;3.203;5.191
;171.39;160.93;4.523;-13.553;1.143;5.76
;171.4;160.92;-6.549;-7.465;5.263;9.962
;171.42;160.9;-7.719;0.029;1.917;5.956
;171.43;160.89;-6.687;5.519;-2.009;8.866
;171.44;160.88;-4.539;10.568;2.248;8.793
;171.46;160.86;-4.019;15.864;3.174;11.283
;171.47;160.85;-4.513;11.859;1.945;1.869
;171.49;160.84;-4.554;14.325;2.457;-13.657
;171.5;160.82;-4.718;13.213;-2.083;-11.598
;171.52;160.81;1.088;9.982;-1.152;-4.7
;171.53;160.8;-2.163;11.719;-0.445;-3.643
;171.54;160.78;-5.502;5.714;-4.791;-5.263
;171.56;160.77;-2.968;4.435;-5.175;-7.88
;171.57;160.76;-2.833;4.471;-2.564;-6.342
;171.59;160.74;-0.838;3.662;-0.628;0.389
;171.6;160.73;-0.247;3.2;-0.802;-4.874
;171.62;160.72;-1.764;;1.03;-6.664
;171.63;160.71;-0.9;-4.118;-2.595;-3.749
;171.65;160.69;3.6;-3.721;-0.227;-1.623
;171.66;160.68;4.431;1.133;1.435;3.474
;171.68;160.67;2.986;1.502;-4.538;-0.151
;171.7;160.66;3.509;0.555;-0.804;-1.456
;171.71;160.65;2.521;3.26;-2.815;0.707
;171.73;160.64;-0.47;9.452;-2.972;3.031
;171.74;160.63;-0.925;4.681;1.788;1.049
;171.76;160.61;-1.241;-0.093;1.19;-1.695
;171.77;160.6;-1.225;-0.233;3.124;-5.023
;171.78;160.59;4.337;-6.806;-0.575;-3.565
;171.8;160.57;1.646;-5.167;-1.853;4.302
;171.81;160.56;-2.205;-7.813;-2.077;0.321
;171.83;160.55;-1.479;-10.042;-3.857;1.474
;171.84;160.53;-2.436;-3.198;2.841;0.729
;171.85;160.52;4.84;-8.714;0.286;-1.219
;171.86;160.5;6.713;-14.494;-1.257;3.955
;171.87;160.49;2.125;-7.393;1.483;2.262
;171.88;160.47;3.747;-1.64;-2.154;4.01
;171.89;160.46;5.691;-3.058;2.953;5.689
;171.9;160.44;4.123;-4.562;3.163;7.122
;171.91;160.42;3.142;-8.068;1.703;2.943
;171.92;160.41;4.8;-10.851;5.454;-2.134
;171.92;160.39;3.666;-7.088;0.824;0.292
;171.93;160.37;2.67;-1.907;4.742;-2.281
;171.93;160.36;1.123;-0.191;9.538;-5.264
;171.94;160.34;-2.364;-2.174;1.053;-5.625
;171.94;160.33;-4.425;3.298;-2.952;-1.454
;171.94;160.32;-4.283;7.001;-2.505;0.263
;171.94;160.3;-0.61;6.391;-2.847;2.342
;171.94;160.29;-0.123;10.37;0.267;6.347
;171.94;160.27;-2.792;6.027;3.617;2.863
;171.94;160.26;-2.257;4.882;3.275;0.479
;171.94;160.24;-4.854;8.503;0.951;-0.003
;171.94;160.23;-7.609;8.899;-2.66;-1.916
;171.93;160.22;-3.815;10.972;-1.7;-3.15
;171.93;160.2;-6.884;9.948;0.947;-0.956
;171.93;160.19;-9.044;7.512;-4.389;-0.255
;171.92;160.18;-3.076;7.894;-4.401;3.122
;171.91;160.16;-2.207;7.505;2.117;2.76
;171.91;160.15;-5.358;5.767;2.745;-2.242
;171.9;160.13;-7.983;10.984;-0.602;-0.076
;171.9;160.12;-4.526;9.769;-2.341;-1.81
;171.89;160.11;1.359;2.503;-0.194;0.499
;171.89;160.09;5.461;-1.548;1.781;1.36
;171.88;160.08;4.391;-8.786;0.285;-1.807
;171.88;160.06;2.908;-12.744;-3.409;1.274
;171.87;160.05;10.471;-19.827;-2.258;2.016
;171.87;160.04;12.301;-23.853;0.524;1.193
;171.87;160.02;7.364;-21.335;-1.698;-0.53
;171.87;160.01;5.894;-19.581;-4.903;1.224
;171.87;159.99;7.375;-16.319;-4.203;2.782
;171.87;159.98;8.321;-9.226;-1.264;1.364
;171.87;159.97;4.283;1.367;-3.596;-0.331
;171.88;159.95;-1.891;-1.986;-0.936;-1.548
;171.88;159.94;-2.005;-2.25;3.246;-0.551
;171.89;159.93;3.036;8.428;2.176;-1.46
;171.9;159.91;0.728;12.636;4.031;-0.879
;171.91;159.9;-4.516;16.023;1.926;-1.512
;171.92;159.89;-6.067;15.076;1.776;-4.351
;171.94;159.88;-6.007;14.73;1.492;-4.796
;171.95;159.86;-4.005;17.305;-3.661;-4.805
;171.97;159.85;-7.511;16.823;-5.117;-5.141
;171.99;159.84;-5.463;16.282;-0.131;-2.241
;172.01;159.83;0.271;12.941;3.786;0.545
;172.04;159.81;-1.232;5.957;-0.04;-2.792
;172.06;159.8;1.956;2.916;3.638;-0.048
;172.08;159.79;2.605;1.823;5.857;-0.268
;172.11;159.78;0.532;-1.087;0.544;-3.838
;172.14;159.77;3.154;-8.371;-0.802;2.27
;172.16;159.76;5.064;-20.673;-2.524;-1.548
;172.19;159.74;0.646;-21.58;-1.428;-1.37
;172.22;159.73;0.01;-21.962;-2.586;3.849
;172.24;159.72;1.42;-25.598;-2.076;1.048
;172.27;159.71;-5.449;-20.249;3.372;3.216
;172.3;159.7;-3.702;-17.473;3.473;3.342
;172.33;159.69;-1.957;-9.295;3.002;5.791
;172.36;159.68;-2.518;-0.357;-0.107;5.59
;172.38;159.67;-4.645;1.703;-0.656;5.321
;172.41;159.66;-7.516;7.269;2.613;7.927
;172.44;159.66;-4.013;9.664;1.623;1.686
;172.46;159.65;-6.5;11.572;-0.68;-1.857
;172.48;159.64;0.088;11.5;-2.406;-2.071
;172.5;159.64;3.653;9.509;-0.844;0.822
;172.52;159.63;-1.594;10.249;-3.363;0.292
;172.54;159.62;1.59;10.385;-1.118;0.426
;172.56;159.62;0.057;15.05;2.02;2.789
;172.58;159.62;-3.243;11.256;-1.66;-0.148
;172.59;159.61;-1.205;4.224;1.569;-0.625
;172.61;159.61;1.593;6.121;-2.521;-0.976
;172.62;159.61;0.779;5.338;-4.719;2.329
;172.63;159.61;0.72;1.228;-0.533;1.107
;172.64;159.61;3.037;-0.098;-1.592;-0.861
;172.65;159.61;6.357;-0.384;1.42;-2.92
;172.66;159.61;5.713;-8.889;1.534;-7.381
;172.66;159.61;2.997;-11.212;0.452;-3.617
;172.66;159.61;5.842;-8.487;1.435;-2.028
;172.67;159.61;2.873;-6.89;-0.23;-0.925
;172.66;159.61;3.435;-7.884;1.118;-3.258
;172.66;159.61;9.069;-12.225;2.497;-4.216
;172.66;159.61;4.552;-3.895;0.592;-1.65
;172.65;159.61;3.192;-2.597;-0.633;-1.45
;172.64;159.61;5.955;0.302;-0.057;-0.015
;172.63;159.62;3.791;6.802;-0.489;0.946
;172.61;159.62;1.303;4.468;-0.682;1.85
;172.6;159.62;-1.37;7.004;2.772;-0.247
;172.58;159.62;-0.344;-0.859;-1.105;0.905
;172.56;159.62;0.047;-7.964;-3.325;1.172
;172.54;159.62;-2.191;-6.533;-1.178;0.093
;172.52;159.63;-1.247;-7.311;-3.487;-0.759
;172.5;159.63;-1.192;-3.258;2.217;-0.813
;172.48;159.63;0.739;2.7;2.326;0.346
;172.46;159.63;-3.427;2.963;-0.263;-2.009
;172.44;159.63;-6.558;3.463;1.97;1.559
;172.42;159.64;-2.611;6.118;3.493;-0.488
;172.4;159.64;-4.928;4.101;4.884;-0.188
;172.38;159.64;-4.799;3.202;0.997;6.89
;172.37;159.64;-0.689;1.51;1.956;4.251
;172.35;159.64;-0.777;3.436;-1.654;1.776
;172.33;159.64;-3.087;4.956;-3.753;2.483
;172.32;159.64;0.089;3.693;1.764;5.787
;172.3;159.64;-2.786;5.235;-3.126;3.724
;172.29;159.64;-5.473;-2.195;-4.015;0.461
;172.28;159.64;0.36;-0.768;0.64;1.863
;172.26;159.64;-2.232;1.208;-3.519;1.164
;172.25;159.64;-2.805;-0.832;-4.823;0.018
;172.24;159.64;-5.598;4.722;0.183;-4.398
;172.22;159.64;-6.158;1.924;-1.037;-4.913
;172.21;159.64;-0.089;5.219;0.88;-3.815
;172.2;159.64;-3.641;1.442;2.833;-3.789
;172.19;159.63;-4.032;-6.721;1.567;-3.09
;172.18;159.63;-1.472;-2.079;3.765;-2.874
;172.17;159.62;-1.955;-3.635;-0.871;0.983
;172.16;159.62;-2.706;-5.386;-1.335;0.868
;172.15;159.61;0.005;-4.128;-0.233;-0.784
;172.14;159.61;1.981;0.784;-0.259;-1.727
;172.13;159.6;-1.25;1.071;3.584;-2.301
;172.12;159.59;6.544;-5.239;0.726;-1.265
;172.11;159.59;12.73;-3.241;1.424;-3.698
;172.09;159.58;8.001;0.936;1.566;-3.702
;172.08;159.57;8.101;-1.443;-3.654;1.045
;172.07;159.56;6.43;-2.444;-0.771;0.371
;172.06;159.56;3.334;-2.582;0.558;-3.547
;172.05;159.55;1.898;-6.265;-3.091;-1.249
;172.04;159.54;1.523;-0.431;1.59;0.984
;172.03;159.53;0.596;1.802;0.9;-2.395
;172.02;159.53;-3.428;1.886;-0.704;-3.74
;172.01;159.52;-0.587;9.578;5.143;-0.073
;172;159.51;0.907;4.254;-3.32;0.899
;171.99;159.51;1.323;-1.244;-5.757;2.494
;171.98;159.5;2.37;0.425;3.024;5.846
;171.97;159.49;0.051;-2.841;-1.164;8.238
;171.96;159.49;1.072;-6.58;-3.057;5.077
;171.95;159.48;1.705;-7.434;0.25;-1.382
;171.94;159.47;3.158;-4.466;-2.902;1.682
;171.93;159.47;0.208;-2.656;-1.736;1.362
;171.92;159.46;-0.739;0.624;0.587;1.698
;171.92;159.46;1.882;5.365;1.942;-1.864
;171.91;159.45;1.494;5.66;4.424;-7.367
;171.91;159.45;0.737;7.379;2.003;4.442
;171.9;159.44;-2.588;1.499;2.401;5.127
;171.9;159.44;-0.093;-5.909;1.627;1.822
;171.9;159.44;-0.679;-2.516;3.551;8.392
;171.9;159.43;-3.778;-3.79;4.118;14.776
;171.9;159.43;-4.951;-6.309;-1.639;14.803
;171.9;159.43;-7.431;1.406;0.501;6.226
;171.91;159.42;-5.986;8.586;1.972;5.93
;171.91;159.42;-8.158;9.73;0.173;0.701
;171.92;159.42;-9.808;11.319;-1.118;-2.891
;171.92;159.42;-6.043;8.981;-2.996;4.355
;171.93;159.42;-4.089;7.92;-4.724;3.617
;171.94;159.42;-7.198;8.51;-2.959;1.83
;171.96;159.42;-4.31;4.425;0.528;-8.486
;171.97;159.42;3.898;5.307;0.111;-22.271
;171.99;159.43;4.766;3.864;-0.573;-20.753
;172;159.43;5.867;-3.733;-0.104;-18.773
;172.02;159.43;10.684;-9.099;-1.73;-17.756
;172.04;159.44;11.149;-9.498;-3.705;-12.381
;172.07;159.45;7.204;-9.731;0.202;-14.806
;172.09;159.46;4.413;-12.148;1.606;-12.404
;172.11;159.47;3.552;-10.217;-0.934;-2.597
;172.14;159.48;4.103;-5.658;-2.578;-3.493
;172.17;159.49;2.863;-4.334;-2.103;-2.629
;172.2;159.51;0.912;-5.469;2.278;5.155
;172.23;159.52;-0.924;-1.325;2.829;9.696
;172.26;159.54;-2.178;3.843;3.907;10.565
;172.29;159.56;-1.572;1.796;4.652;12.78
;172.32;159.59;-5.231;-2.24;2.318;12.874
;172.35;159.61;-5.195;-1.245;0.342;9.647
;172.39;159.64;-2.121;-2.066;0.601;12.191
;172.42;159.67;0.523;-1.307;5.307;12.603
;172.46;159.69;0.984;4.422;4.977;11.65
;172.49;159.72;-2.868;1.604;1.053;9.382
